fid,objectid,dtcc,municipio,designacao_no_plano,classe_2021,categoria_2021,escala_origem,fonte,area_ha,autor,data_pub_origem,registo_ou_deposito,situacao_pdm,codigo
49304,49304,1309,PAÇOS DE FERREIRA,Solo Urbanizado - Área Mista de Nível 3,Solo Urbano,Não Atribuída,1/10000,CM - Raster,168.72450878663915,DGT,2007-12-05 00:00:00+00:00,01.13.09/169/2011/PDM/03,Vigente,9998
49305,49305,1309,PAÇOS DE FERREIRA,Solo Urbanizado - Área Mista de Nível 2,Solo Urbano,Não Atribuída,1/10000,CM - Raster,260.32794247371737,DGT,2007-12-05 00:00:00+00:00,01.13.09/169/2011/PDM/03,Vigente,9998
49306,49306,1309,PAÇOS DE FERREIRA,Solo Urbanizado - Área Mista de Nível 1,Solo Urbano,Não Atribuída,1/10000,CM - Raster,130.82235583785845,DGT,2007-12-05 00:00:00+00:00,01.13.09/169/2011/PDM/03,Vigente,9998
49307,49307,1309,PAÇOS DE FERREIRA,Solo Urbanizado - Área Mista de Nível 1,Solo Urbano,Não Atribuída,1/10000,CM - Raster,56.144346124388136,DGT,2007-12-05 00:00:00+00:00,01.13.09/169/2011/PDM/03,Vigente,9998
49308,49308,1309,PAÇOS DE FERREIRA,Solo Urbanizado - Área Mista de Nível 2,Solo Urbano,Não Atribuída,1/10000,CM - Raster,100.04629749962385,DGT,2007-12-05 00:00:00+00:00,01.13.09/169/2011/PDM/03,Vigente,9998
49309,49309,1309,PAÇOS DE FERREIRA,Solo Urbanizado - Área Mista de Nível 1,Solo Urbano,Não Atribuída,1/10000,CM - Raster,192.55922149150035,DGT,2007-12-05 00:00:00+00:00,01.13.09/169/2011/PDM/03,Vigente,9998
49310,49310,1309,PAÇOS DE FERREIRA,Solo Urbanizado - Área Mista de Nível 2,Solo Urbano,Não Atribuída,1/10000,CM - Raster,53.54531456502247,DGT,2007-12-05 00:00:00+00:00,01.13.09/169/2011/PDM/03,Vigente,9998
49311,49311,1309,PAÇOS DE FERREIRA,Solo Urbanizado - Área Mista de Nível 2,Solo Urbano,Não Atribuída,1/10000,CM - Raster,171.8389157420733,DGT,2007-12-05 00:00:00+00:00,01.13.09/169/2011/PDM/03,Vigente,9998
49312,49312,1309,PAÇOS DE FERREIRA,Solo Urbanizado - Área Mista de Nível 2,Solo Urbano,Não Atribuída,1/10000,CM - Raster,188.51474678483052,DGT,2007-12-05 00:00:00+00:00,01.13.09/169/2011/PDM/03,Vigente,9998
49313,49313,1309,PAÇOS DE FERREIRA,Solo Urbanizado - Área Mista de Nível 3,Solo Urbano,Não Atribuída,1/10000,CM - Raster,176.5684695155553,DGT,2007-12-05 00:00:00+00:00,01.13.09/169/2011/PDM/03,Vigente,9998
49314,49314,1309,PAÇOS DE FERREIRA,Solo Urbanizado - Área Mista de Nível 3,Solo Urbano,Não Atribuída,1/10000,CM - Raster,89.10525617812797,DGT,2007-12-05 00:00:00+00:00,01.13.09/169/2011/PDM/03,Vigente,9998
49315,49315,1309,PAÇOS DE FERREIRA,Espaço Florestal - Área Florestal de Proteção,Solo Rústico,Espaço Florestal,1/10000,CM - Raster,49.378043697377294,DGT,2007-12-05 00:00:00+00:00,01.13.09/169/2011/PDM/03,Vigente,9
49316,49316,1309,PAÇOS DE FERREIRA,Espaço Florestal - Área Florestal de Proteção,Solo Rústico,Espaço Florestal,1/10000,CM - Raster,862.8577928219855,DGT,2007-12-05 00:00:00+00:00,01.13.09/169/2011/PDM/03,Vigente,9
49317,49317,1309,PAÇOS DE FERREIRA,Espaço de Exploração Minerais - Área de Extração de Pedreiras,Solo Rústico,Espaço de Exploração de Recursos Energéticos e Geológicos,1/10000,CM - Raster,13.960537366567738,DGT,2007-12-05 00:00:00+00:00,01.13.09/169/2011/PDM/03,Vigente,10
49318,49318,1309,PAÇOS DE FERREIRA,Espaço de Exploração Minerais - Área de Extração de Pedreiras,Solo Rústico,Espaço de Exploração de Recursos Energéticos e Geológicos,1/10000,CM - Raster,11.347926394285635,DGT,2007-12-05 00:00:00+00:00,01.13.09/169/2011/PDM/03,Vigente,10
49319,49319,1309,PAÇOS DE FERREIRA,Solo Urbanizado - Área de Equipamentos,Solo Urbano,Espaço de Uso Especial Equipamentos e Infraestruturas,1/10000,CM - Raster,0.7042936097756028,DGT,2007-12-05 00:00:00+00:00,01.13.09/169/2011/PDM/03,Vigente,
49320,49320,1309,PAÇOS DE FERREIRA,Solo Urbanizado - Área de Equipamentos,Solo Urbano,Espaço de Uso Especial Equipamentos e Infraestruturas,1/10000,CM - Raster,1.0905290583161638,DGT,2007-12-05 00:00:00+00:00,01.13.09/169/2011/PDM/03,Vigente,
49321,49321,1309,PAÇOS DE FERREIRA,Solo Urbanizado - Área de Equipamentos,Solo Urbano,Espaço de Uso Especial Equipamentos e Infraestruturas,1/10000,CM - Raster,0.20491459765350445,DGT,2007-12-05 00:00:00+00:00,01.13.09/169/2011/PDM/03,Vigente,
49322,49322,1309,PAÇOS DE FERREIRA,Solo Urbanizado - Área de Equipamentos,Solo Urbano,Espaço de Uso Especial Equipamentos e Infraestruturas,1/10000,CM - Raster,0.3063759498226922,DGT,2007-12-05 00:00:00+00:00,01.13.09/169/2011/PDM/03,Vigente,
49323,49323,1309,PAÇOS DE FERREIRA,Espaço Agrícola - Área Agro-florestal,Solo Rústico,Espaço Florestal,1/10000,CM - Raster,0.1622874359242618,DGT,2007-12-05 00:00:00+00:00,01.13.09/169/2011/PDM/03,Vigente,9
49324,49324,1309,PAÇOS DE FERREIRA,Espaço Agrícola - Área Agro-florestal,Solo Rústico,Espaço Florestal,1/10000,CM - Raster,1.6636483338928783,DGT,2007-12-05 00:00:00+00:00,01.13.09/169/2011/PDM/03,Vigente,9
