Fonte: www.ine.pt – Sistema de metainformação
Exportação de categorias - Data de extração: 15-09-2026.

Família,Territoriais
Classificação,Tipologia de áreas urbanas
Versão,"V05635 - Tipologia de áreas urbanas, 2025"
Tipo de exportação,Total
Data de referência,15-09-2026

Nível,Código,Designação
3,150607,União das freguesias de Baixa da Banheira e Vale da Amoreira
2,APU1507A,Montijo
3,150709,União das freguesias de Atalaia e Alto Estanqueiro-Jardia
3,150710,União das freguesias de Montijo e Afonsoeiro
2,APU1508A,Palmela
3,150802,Palmela
3,150803,Pinhal Novo
3,150804,Quinta do Anjo
2,APU1509A,Santiago do Cacém
3,150907,Santo André
3,150912,"União das freguesias de Santiago do Cacém, Santa Cruz e São Bartolomeu da Serra"
2,APU1510A,Seixal
3,151002,Amora
3,151005,Corroios
3,151006,Fernão Ferro
3,151007,"União das freguesias do Seixal, Arrentela e Aldeia de Paio Pires"
2,APU1511A,Quinta do Conde
3,151102,Sesimbra (Santiago)
3,151103,Quinta do Conde
2,APU1511B,Sesimbra
2,APU1512A,Setúbal
3,151205,Setúbal (São Sebastião)
3,151210,"União das freguesias de Setúbal (São Julião, Nossa Senhora da Anunciada e Santa Maria da Graça)"
2,APU1513A,Sines
3,151301,Sines
2,APU1601A,Arcos de Valdevez 
3,160128,Prozelo
3,160153,União das freguesias de Arcos de Valdevez (São Paio) e Giela
3,160154,"União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada"
3,160157,União das freguesias de Guilhadeses e Santar
2,APU1602A,Caminha
3,160201,Âncora
2,APU1604A,Monção
3,160406,Bela
3,160436,União das freguesias de Mazedo e Cortes
3,160438,União das freguesias de Monção e Troviscoso
2,APU1605A,Paredes de Coura
3,160526,União das freguesias de Paredes de Coura e Resende
2,APU1606A,Ponte da Barca
3,160628,"União das freguesias de Ponte da Barca, Vila Nova de Muía e Paço Vedro de Magalhães"
2,APU1607A,Ponte de Lima
3,160716,Correlhã
3,160719,Feitosa
3,160721,Fontão
3,160752,Arca e Ponte de Lima
2,APU1608A,Valença
3,160808,Ganfei
3,160820,"União das freguesias de Valença, Cristelo Covo e Arão"
2,APU1609A,Viana do Castelo
3,160902,Alvarães
3,160904,Anha
3,160905,Areosa
3,160910,Castelo do Neiva
3,160911,Darque
3,160928,Santa Marta de Portuzelo
3,160938,Vila de Punhe
3,160940,Chafé
3,160941,União das freguesias de Barroselas e Carvoeiro
3,160948,União das freguesias de Viana do Castelo (Santa Maria Maior e Monserrate) e Meadela
2,APU1610A,Vila Nova de Cerveira
3,161016,União das freguesias de Campos e Vila Meã
2,APU1703A,Chaves
3,170321,Outeiro Seco
3,170344,Vilar de Nantes
3,170350,Santa Maria Maior
3,170354,União das freguesias da Madalena e Samaiões
3,170358,União das freguesias de Santa Cruz/Trindade e Sanjurge
2,APU1708A,Peso da Régua
3,170815,União das freguesias de Peso da Régua e Godim
2,APU1714A,Vila Real
3,171404,Arroios
3,171409,Folhadela
3,171414,Lordelo
3,171415,Mateus
3,171420,Parada de Cunhos
3,171432,União das freguesias de Borbela e Lamas de Olo
3,171438,Vila Real
2,APU1804A,Cinfães
3,180414,Souselo
2,APU1805A,Lamego
3,180525,Lamego (Almacave e Sé)
2,APU1806A,Mangualde
3,180619,"União das freguesias de Mangualde, Mesquitela e Cunha Alta"
2,APU1807A,Moimenta da Beira
3,180710,Moimenta da Beira
2,APU1811A,Penalva do Castelo
3,181105,Ínsua
2,APU1813A,Resende
3,181311,Resende
2,APU1816A,São Pedro do Sul
3,181623,"União das freguesias de São Pedro do Sul, Várzea e Baiões"
2,APU1817A,Sátão
3,181710,Sátão
2,APU1821A,Tondela
3,182132,União das freguesias de Tondela e Nandufe
2,APU1823A,Viseu
3,182301,Abraveses
3,182319,Orgens
3,182321,Ranhados
3,182323,Rio de Loba
3,182339,Repeses e São Salvador
3,182341,Viseu
2,APU3102A,Câmara de Lobos
3,310201,Câmara de Lobos
3,310203,Estreito de Câmara de Lobos
3,310205,Jardim da Serra
2,APU3103A,Funchal
3,310301,Imaculado Coração de Maria
3,310302,Monte
3,310303,Funchal (Santa Luzia)
3,310304,Funchal (Santa Maria Maior)
3,310305,Santo António
3,310306,São Gonçalo
3,310307,São Martinho
3,310308,Funchal (São Pedro)
3,310309,São Roque
3,310310,Funchal (Sé)
2,APU3104A,Machico
3,310401,Água de Pena
3,310403,Machico
2,APU3107A,Ribeira Brava
3,310701,Campanário
3,310702,Ribeira Brava
2,APU3108A,Santa Cruz
3,310802,Camacha
3,310803,Caniço
3,310804,Gaula
3,310805,Santa Cruz
2,APU3201A,Porto Santo
3,320101,Porto Santo
2,APU4201A,Lagoa (RAA)
3,420103,Lagoa (Nossa Senhora do Rosário)
3,420104,Lagoa (Santa Cruz)
2,APU4203A,Ponta Delgada
3,420301,Arrifes
3,420304,Capelas
3,420306,Fajã de Baixo
3,420312,Ponta Delgada (São Sebastião)
3,420313,Ponta Delgada (São José)
3,420314,Ponta Delgada (São Pedro)
3,420317,Rosto do Cão (Livramento)
3,420318,Rosto do Cão (São Roque)
3,420325,Santa Clara
2,APU4205A,Rabo de Peixe
3,420501,Calhetas
3,420506,Pico da Pedra
3,420508,Rabo de Peixe
3,420509,Ribeira Grande (Conceição)
3,420510,Ribeira Grande (Matriz)
2,APU4205B,Ribeira Grande
2,APU4206A,Vila Franca do Campo
3,420605,Vila Franca do Campo (São Pedro)
2,APU4301A,Angra do Heroísmo
3,430102,Angra (Nossa Senhora da Conceição)
3,430103,Angra (Santa Luzia)
3,430104,Angra (São Pedro)
3,430105,Angra (Sé)
3,430115,São Bento
2,APU4302A,Praia da Vitória
3,430207,Praia da Vitória (Santa Cruz)
2,APU4701A,Horta
3,470106,Horta (Angústias)
3,470108,Horta (Matriz)
1,AMU,Área mediamente urbana
2,AMU0101A,Águeda (AMU)
3,010103,Aguada de Cima
3,010124,União das freguesias de Recardães e Espinhel
3,010125,União das freguesias de Travassô e Óis da Ribeira
2,AMU0102A,Albergaria-a-Velha (AMU)
3,010202,Alquerubim
3,010204,Branca
2,AMU0103A,Anadia (AMU)
3,010309,Sangalhos
3,010310,São Lourenço do Bairro
3,010318,"União das freguesias de Tamengos, Aguim e Óis do Bairro"
2,AMU0104A,Arouca (AMU)
3,010407,Chave
3,010420,Várzea
2,AMU0105A,Aveiro (AMU)
3,010502,Cacia
3,010515,Eixo e Eirol
3,010508,Oliveirinha
3,010516,"Requeixo, Nossa Senhora de Fátima e Nariz"
2,AMU0106A,Castelo de Paiva (AMU)
3,010602,Fornos
3,010607,Santa Maria de Sardoura
3,010608,São Martinho de Sardoura
3,010610,"União das freguesias de Raiva, Pedorido e Paraíso"
2,AMU0108A,Estarreja (AMU)
3,010801,Avanca
3,010805,Pardilhó
2,AMU0109A,Santa Maria da Feira (AMU)
3,010922,Romariz
2,AMU0111A,Mealhada (AMU)
3,011103,Casal Comba
2,AMU0112A,Murtosa (AMU)
3,011201,Bunheiro
3,011204,Torreira
2,AMU0113A,Oliveira de Azeméis (AMU)
3,011301,Carregosa
3,011302,Cesar
3,011315,São Martinho da Gândara
3,011320,União das freguesias de Nogueira do Cravo e Pindelo
3,011322,"União das freguesias de Pinheiro da Bemposta, Travanca e Palmaz"
2,AMU0114A,Oliveira do Bairro (AMU)
3,011403,Oiã
3,011405,Palhaça
3,011407,"União das freguesias de Bustos, Troviscal e Mamarrosa"
2,AMU0115A,Ovar (AMU)
3,011507,Válega
2,AMU0117A,Sever do Vouga (AMU)
3,011705,Rocas do Vouga
3,011706,Sever do Vouga
2,AMU0118A,Vagos (AMU)
3,011805,Ouca
3,011810,Santo André de Vagos
3,011807,Sosa
3,011812,União das freguesias de Fonte de Angeão e Covão do Lobo
3,011813,União das freguesias de Ponte de Vagos e Santa Catarina
2,AMU0119A,Vale de Cambra (AMU)
3,011902,São Pedro de Castelões
2,AMU0908A,Manteigas (AMU)
3,090802,Manteigas (Santa Maria)
3,090803,Manteigas (São Pedro)
2,AMU0909A,Meda (AMU)
3,090917,"Mêda, Outeiro de Gatos e Fonte Longa"
2,AMU0910A,Pinhel (AMU)
3,091017,Pinhel
2,AMU1411A,Ferreira do Zêzere (AMU)
3,141106,Ferreira do Zêzere
2,AMU1412A,Golegã (AMU)
3,141202,Golegã
2,AMU1413A,Mação (AMU)
3,141309,"União das freguesias de Mação, Penhascoso e Aboboreira"
2,AMU1415A,Salvaterra de Magos (AMU)
3,141503,Muge
3,141507,União das freguesias de Glória do Ribatejo e Granho
2,AMU1416A,Santarém (AMU)
3,141607,Amiais de Baixo
2,AMU1417A,Sardoal (AMU)
3,141703,Sardoal
2,AMU1418A,Tomar (AMU)
3,141804,Carregueiros
3,141809,Paialvo
2,AMU0202A,Almodôvar (AMU)
3,020209,União das freguesias de Almodôvar e Graça dos Padrões
2,AMU0203A,Alvito (AMU)
3,020301,Alvito
2,AMU0204A,Barrancos (AMU)
3,020401,Barrancos
2,AMU0207A,Cuba (AMU)
3,020701,Cuba
2,AMU0208A,Ferreira do Alentejo (AMU)
3,020808,União das freguesias de Ferreira do Alentejo e Canhestros
2,AMU0209A,Mértola (AMU)
3,020904,Mértola
2,AMU0211A,Odemira (AMU)
3,021120,São Salvador e Santa Maria
3,021121,São Teotónio
3,021111,Vila Nova de Milfontes
2,AMU0212A,Ourique (AMU)
3,021203,Ourique
2,AMU0213A,Serpa (AMU)
3,021303,Pias
3,021309,União das freguesias de Vila Nova de São Bento e Vale de Vargo
2,AMU0214A,Vidigueira (AMU)
3,021403,Vidigueira
2,AMU0301A,Amares (AMU)
3,030102,Barreiros
3,030104,Bico
3,030105,Caires
3,030107,Carrazedo
3,030108,Dornelas
3,030111,Fiscal
3,030112,Goães
3,030113,Lago
3,030128,União das freguesias de Torre e Portela
2,AMU0302A,Barcelos (AMU)
3,030201,Abade de Neiva
3,030202,Aborim
3,030203,Adães
3,030205,Airó
3,030206,Aldreu
3,030210,Areias
3,030215,Barqueiros
3,030216,Cambeses
3,030221,Carvalhas
3,030224,Cossourado
3,030228,Cristelo
3,030234,Fornelos
3,030237,Gilmonde
3,030242,Lama
3,030244,Macieira de Rates
3,030252,Moure
3,030254,Oliveira
3,030256,Panque
3,030257,Paradela
3,030259,Pereira
3,030263,Remelhe
3,030265,Rio Covo (Santa Eugénia)
3,030264,Roriz
3,030279,Silva
3,030291,União das freguesias de Alvito (São Pedro e São Martinho) e Couto
3,030292,União das freguesias de Areias de Vilar e Encourados
3,030294,União das freguesias de Campo e Tamel (São Pedro Fins)
3,030295,União das freguesias de Carreira e Fonte Coberta
3,030296,"União das freguesias de Chorente, Góios, Courel, Pedra Furada e Gueral"
3,030298,União das freguesias de Durrães e Tregosa
3,030299,União das freguesias de Gamil e Midões
3,0302FB,União das freguesias de Negreiros e Chavão
3,0302FC,União das freguesias de Quintiães e Aguiar
3,0302FD,União das freguesias de Sequeade e Bastuço (São João e Santo Estevão)
3,0302FE,União das freguesias de Silveiros e Rio Covo (Santa Eulália)
3,0302FF,União das freguesias de Tamel (Santa Leocádia) e Vilar do Monte
3,0302FG,"União das freguesias de Viatodos, Grimancelos, Minhotães e Monte de Fralães"
3,0302FH,União das freguesias de Vila Cova e Feitos
3,030287,Vila Seca
2,AMU0303A,Braga (AMU)
3,030312,Espinho
3,030336,Priscos
3,030338,Ruilhe
3,030355,Sobreposta
3,030363,União das freguesias de Arentim e Cunha
3,030368,União das freguesias de Crespos e Pousada
3,030369,União das freguesias de Escudeiros e Penso (Santo Estêvão e São Vicente)
3,030376,União das freguesias de Morreira e Trandeiras
3,030380,União das freguesias de Santa Lucrécia de Algeriz e Navarra
2,AMU0304A,Cabeceiras de Basto (AMU)
3,030404,Basto
3,030419,União das freguesias de Arco de Baúlhe e Vila Nune
2,AMU0305A,Celorico de Basto (AMU)
3,030501,Agilde
3,030503,Borba de Montanha
3,030523,"União das freguesias de Britelo, Gémeos e Ourilhe"
3,030527,"União das freguesias de Veade, Gagos e Molares"
2,AMU0306A,Esposende (AMU)
3,030608,Forjães
3,030616,União das freguesias de Apúlia e Fão
3,030619,União das freguesias de Fonte Boa e Rio Tinto
3,030615,Vila Chã
2,AMU0307A,Fafe (AMU)
3,030719,Paços
3,030722,Quinchães
3,030724,Revelhe
3,030725,Ribeiros
3,030729,Silvares (São Martinho)
3,030739,União de freguesias de Antime e Silvares (São Clemente)
3,030741,União de freguesias de Cepães e Fareja
3,030736,Vinhós
2,AMU0308A,Guimarães (AMU)
3,030857,Candoso (São Martinho)
3,030820,Gonça
3,030824,Infantas
3,030827,Longos
3,030877,União das freguesias de Arosa e Castelões
3,030878,União das freguesias de Atães e Rendufe
3,030880,União das freguesias de Briteiros São Salvador e Briteiros Santa Leocádia
3,030883,"União das freguesias de Leitões, Oleiros e Figueiredo"
3,030886,União das freguesias de Sande São Lourenço e Balazar
3,030888,União das freguesias de Selho São Lourenço e Gominhães
3,030889,União das freguesias de Serzedo e Calvos
3,030890,"União das freguesias de Souto Santa Maria, Souto São Salvador e Gondomar"
2,AMU0309A,Póvoa de Lanhoso (AMU)
3,030906,Covelas
3,030913,Garfe
3,030914,Geraz do Minho
3,030917,Monsul
3,030926,Taíde
3,030930,União das freguesias de Águas Santas e Moure
3,030932,União das freguesias de Campos e Louredo
3,030934,União das freguesias de Fonte Arcada e Oliveira
3,030929,Vilela
2,AMU0310A,Terras de Bouro (AMU)
3,031010,Moimenta
3,031012,Ribeira
2,AMU0312A,Vila Nova de Famalicão (AMU)
3,031251,União das freguesias de Arnoso (Santa Maria e Santa Eulália) e Sezures
3,031241,Vale (São Martinho)
3,031249,Vilarinho das Cambas
2,AMU0313A,Vila Verde (AMU)
3,031304,Atiães
3,031308,Cabanelas
3,031309,Cervães
3,031311,Coucieiro
3,031313,Dossãos
3,031316,Freiriz
3,031324,Lanhas
3,031330,Oleiros
3,031331,Parada de Gatim
3,031335,Pico
3,031337,Ponte
3,031350,Prado (São Miguel)
3,031361,União das freguesias de Carreiras (São Miguel) e Carreiras (Santiago)
3,031362,União das freguesias de Escariz (São Mamede) e Escariz (São Martinho)
3,031363,"União das freguesias de Esqueiros, Nevogilde e Travassós"
3,031364,União das freguesias de Marrancos e Arcozelo
3,031366,"União das freguesias de Pico de Regalados, Gondiães e Mós"
3,031367,"União das freguesias de Sande, Vilarinho, Barros e Gomide"
3,031368,"União das freguesias de Valbom (São Pedro), Passô e Valbom (São Martinho)"
2,AMU0401A,Alfândega da Fé (AMU)
3,040102,Alfândega da Fé
2,AMU0403A,Carrazeda de Ansiães (AMU)
3,040304,Carrazeda de Ansiães
2,AMU0404A,Freixo de Espada à Cinta (AMU)
3,040407,União das freguesias de Freixo de Espada à Cinta e Mazouco
2,AMU0406A,Miranda do Douro (AMU)
3,040608,Miranda do Douro
2,AMU0408A,Mogadouro (AMU)
3,040830,"União das freguesias de Mogadouro, Valverde, Vale de Porco e Vilar de Rei"
2,AMU0409A,Torre de Moncorvo (AMU)
3,040916,Torre de Moncorvo
2,AMU0410A,Vila Flor (AMU)
3,041023,União das freguesias de Vila Flor e Nabo
2,AMU0411A,Vimioso (AMU)
3,041114,Vimioso
2,AMU0412A,Vinhais (AMU)
3,041235,Vinhais
2,AMU0501A,Belmonte (AMU)
3,050106,União das freguesias de Belmonte e Colmeal da Torre
2,AMU0502A,Castelo Branco (AMU)
3,050201,Alcains
2,AMU0503A,Covilhã (AMU)
3,050324,Tortosendo
3,050333,União das freguesias de Cantar-Galo e Vila do Carvalho
3,050337,União das freguesias de Teixoso e Sarzedo
2,AMU0505A,Idanha-a-Nova (AMU)
3,050518,União das freguesias de Idanha-a-Nova e Alcafozes
2,AMU0506A,Oleiros (AMU)
3,050614,Oleiros-Amieira
2,AMU0507A,Penamacor (AMU)
3,050710,Penamacor
2,AMU0508A,Proença-a-Nova (AMU)
3,050807,União das freguesias de Proença-a-Nova e Peral
2,AMU0510A,Vila de Rei (AMU)
3,051003,Vila de Rei
2,AMU0511A,Vila Velha de Ródão (AMU)
3,051104,Vila Velha de Ródão
2,AMU0601A,Arganil (AMU)
3,060102,Arganil
2,AMU0602A,Cantanhede (AMU)
3,060224,União das freguesias de Vilamar e Corticeiro de Cima
2,AMU0603A,Coimbra (AMU)
3,060309,Brasfemes
3,060312,Cernache
3,060320,São João do Campo
3,060324,São Silvestre
3,060329,Torres do Mondego
3,060332,União das freguesias de Antuzede e Vil de Matos
3,060339,União das freguesias de Souselas e Botão
3,060340,"União das freguesias de Taveiro, Ameal e Arzila"
2,AMU0604A,Condeixa-a-Nova (AMU)
3,060412,União das freguesias de Sebal e Belide
2,AMU0605A,Figueira da Foz (AMU)
3,060513,Vila Verde
2,AMU0606A,Góis (AMU)
3,060604,Góis
2,AMU0608A,Mira (AMU)
3,060804,Praia de Mira
2,AMU0610A,Montemor-o-Velho (AMU)
3,061003,Carapinheira
3,061008,Pereira
3,061009,Santo Varão
3,061010,Seixo de Gatões
3,061016,União das freguesias de Montemor-o-Velho e Gatões
2,AMU0611A,Oliveira do Hospital (AMU)
3,061104,Bobadela
3,061111,Nogueira do Cravo
2,AMU0612A,Pampilhosa da Serra (AMU)
3,061206,Pampilhosa da Serra
2,AMU0613A,Penacova (AMU)
3,061307,Penacova
2,AMU0614A,Penela (AMU)
3,061407,"União das freguesias de São Miguel, Santa Eufémia e Rabaçal"
2,AMU0616A,Tábua (AMU)
3,061614,Tábua
2,AMU0617A,Vila Nova de Poiares (AMU)
3,061703,Poiares (Santo André)
2,AMU0701A,Alandroal (AMU)
3,070107,"União das freguesias de Alandroal (Nossa Senhora da Conceição), São Brás dos Matos (Mina do Bugalho) e Juromenha (Nossa Senhora do Loreto)"
2,AMU0702A,Arraiolos (AMU)
3,070201,Arraiolos
2,AMU0703A,Borba (AMU)
3,070301,Borba (Matriz)
2,AMU0705A,Évora (AMU)
3,070515,Canaviais
2,AMU0707A,Mora (AMU)
3,070703,Mora
2,AMU0708A,Mourão (AMU)
3,070803,Mourão
2,AMU0709A,Portel (AMU)
3,070905,Portel
2,AMU0713A,Viana do Alentejo (AMU)
3,071302,Viana do Alentejo
2,AMU0714A,Vila Viçosa (AMU)
3,071406,Nossa Senhora da Conceição e São Bartolomeu
2,AMU0801A,Albufeira (AMU)
3,080104,Ferreiras
3,080102,Guia
2,AMU0802A,Alcoutim (AMU)
3,080206,União das freguesias de Alcoutim e Pereiro
2,AMU0803A,Aljezur (AMU)
3,080301,Aljezur
2,AMU0804A,Castro Marim (AMU)
3,080402,Castro Marim
2,AMU0806A,Lagoa (AMU)
3,080602,Ferragudo
3,080607,União das freguesias de Estômbar e Parchal
2,AMU0807A,Lagos (AMU)
3,080703,Luz
2,AMU0808A,Loulé (AMU)
3,080801,Almancil
2,AMU0809A,Monchique (AMU)
3,080903,Monchique
2,AMU0810A,Olhão (AMU)
3,081004,Pechão
2,AMU0813A,Silves (AMU)
3,081305,São Bartolomeu de Messines
3,081310,União das freguesias de Algoz e Tunes
2,AMU0814A,Tavira (AMU)
3,081408,Santa Luzia
2,AMU0815A,Vila do Bispo (AMU)
3,081506,Vila do Bispo e Raposeira
2,AMU0901A,Aguiar da Beira (AMU)
3,090114,União das freguesias de Aguiar da Beira e Coruche
2,AMU0902A,Almeida (AMU)
3,090203,Almeida
3,090229,Vilar Formoso
2,AMU0903A,Celorico da Beira (AMU)
3,090324,União das freguesias de Celorico (São Pedro e Santa Maria) e Vila Boa do Mondego
2,AMU0904A,Figueira de Castelo Rodrigo (AMU)
3,090403,Castelo Rodrigo
3,090408,Figueira de Castelo Rodrigo
2,AMU0905A,Fornos de Algodres (AMU)
3,090505,Fornos de Algodres
2,AMU0906A,Gouveia (AMU)
3,090625,Gouveia
2,AMU0911A,Sabugal (AMU)
3,091145,União das freguesias do Sabugal e Aldeia de Santo António
2,AMU0913A,Trancoso (AMU)
3,091332,União das freguesias de Trancoso (São Pedro e Santa Maria) e Souto Maior
2,AMU0914A,Vila Nova de Foz Côa (AMU)
3,091419,Vila Nova de Foz Côa
2,AMU1001A,Alcobaça (AMU)
3,100105,Benedita
3,100112,São Martinho do Porto
3,100123,União das freguesias de Pataias e Martingança
2,AMU1002A,Alvaiázere (AMU)
3,100208,Alvaiázere
2,AMU1003A,Ansião (AMU)
3,100309,Ansião
3,100303,Avelar
2,AMU1004A,Batalha (AMU)
3,100404,Golpilheira
2,AMU1006A,Caldas da Rainha (AMU)
3,100608,Nadadouro
3,100611,Santa Catarina
3,100619,União das freguesias de Tornada e Salir do Porto
2,AMU1007A,Castanheira de Pêra (AMU)
3,100703,União das freguesias de Castanheira de Pêra e Coentral
2,AMU1008A,Figueiró dos Vinhos (AMU)
3,100806,União das freguesias de Figueiró dos Vinhos e Bairradas
2,AMU1009A,Leiria (AMU)
3,100901,Amor
3,100902,Arrabal
3,100925,Bajouca
3,100907,Caranguejeira
3,100913,Maceira
3,100915,Milagres
3,100921,Regueira de Pontes
3,100935,União das freguesias de Monte Real e Carvide
3,100938,União das freguesias de Santa Catarina da Serra e Chainça
3,100939,União das freguesias de Santa Eufémia e Boa Vista
3,100940,União das freguesias de Souto da Carpalhosa e Ortigosa
2,AMU1010A,Marinha Grande (AMU)
3,101002,Vieira de Leiria
2,AMU1011A,Nazaré (AMU)
3,101103,Valado dos Frades
2,AMU1012A,Óbidos (AMU)
3,101208,Gaeiras
3,101210,"Santa Maria, São Pedro e Sobral da Lagoa"
2,AMU1013A,Pedrógão Grande (AMU)
3,101302,Pedrógão Grande
2,AMU1014A,Peniche (AMU)
3,101402,Atouguia da Baleia
3,101405,Serra d'El-Rei
2,AMU1016A,Porto de Mós (AMU)
3,101605,Calvaria de Cima
3,101609,Pedreiras
2,AMU1101A,Alenquer (AMU)
3,110108,Olhalvo
2,AMU1102A,Arruda dos Vinhos (AMU)
3,110203,Cardosas
2,AMU1103A,Azambuja (AMU)
3,110303,Aveiras de Cima
3,110307,Vila Nova da Rainha
2,AMU1104A,Cadaval (AMU)
3,110411,União das freguesias do Cadaval e Pêro Moniz
2,AMU1107A,Loures (AMU)
3,110705,Fanhões
3,110708,Lousa
2,AMU1108A,Lourinhã (AMU)
3,110806,Santa Bárbara
3,110813,União das freguesias de Miragaia e Marteleira
3,110808,Vimeiro
2,AMU1109A,Mafra (AMU)
3,110902,Carvoeira
3,110904,Encarnação
3,110911,Milharado
3,110913,Santo Isidoro
2,AMU1111A,Sintra (AMU)
3,111105,Colares
3,111127,União das freguesias de São João das Lampas e Terrugem
2,AMU1112A,Sobral de Monte Agraço (AMU)
3,111202,Sapataria
2,AMU1113A,Torres Vedras (AMU)
3,111306,Freiria
3,111314,São Pedro da Cadeira
3,111317,Turcifal
3,111321,União das freguesias de A dos Cunhados e Maceira
3,111322,União das freguesias de Campelos e Outeiro da Cabeça
3,111318,Ventosa
2,AMU1201A,Alter do Chão (AMU)
3,120101,Alter do Chão
2,AMU1202A,Arronches (AMU)
3,120201,Assunção
2,AMU1203A,Avis (AMU)
3,120303,Avis
2,AMU1205A,Castelo de Vide (AMU)
3,120502,Santa Maria da Devesa
3,120504,São João Baptista
2,AMU1206A,Crato (AMU)
3,120607,"União das freguesias de Crato e Mártires, Flor da Rosa e Vale do Peso"
2,AMU1208A,Fronteira (AMU)
3,120802,Fronteira
2,AMU1209A,Gavião (AMU)
3,120906,União das freguesias de Gavião e Atalaia
2,AMU1210A,Marvão (AMU)
3,121002,Santa Maria de Marvão
2,AMU1211A,Monforte (AMU)
3,121102,Monforte
2,AMU1212A,Nisa (AMU)
3,121212,"União das freguesias de Espírito Santo, Nossa Senhora da Graça e São Simão"
2,AMU1215A,Sousel (AMU)
3,121504,Sousel
2,AMU1301A,Amarante (AMU)
3,130112,Fregim
3,130117,Gondar
3,130118,Jazente
3,130119,Lomba
3,130120,Louredo
3,130121,Lufrei
3,130123,Mancelos
3,130126,Padronelo
3,130129,Salvador do Monte
3,130135,Telões
3,130136,Travanca
3,130145,União das freguesias de Freixo de Cima e de Baixo
3,130148,"União das freguesias de Vila Garcia, Aboim e Chapa"
3,130138,Vila Caiz
2,AMU1302A,Baião (AMU)
3,130204,Frende
3,130206,Gove
3,130215,Santa Marinha do Zêzere
3,130221,União das freguesias de Ancede e Ribadouro
3,130223,União das freguesias de Campelo e Ovil
2,AMU1303A,Felgueiras (AMU)
3,130301,Aião
3,130306,Idães
3,130307,Jugueiros
3,130313,Penacova
3,130315,Pombeiro de Ribavizela
3,130317,Refontoura
3,130319,Revinhade
3,130324,Sendim
3,130338,União das freguesias de Unhão e Lordelo
3,130340,União das freguesias de Vila Fria e Vizela (São Jorge)
2,AMU1304A,Gondomar (AMU)
3,130405,Lomba
3,130414,União das freguesias de Foz do Sousa e Covelo
3,130416,União das freguesias de Melres e Medas
2,AMU1305A,Lousada (AMU)
3,130510,Lodares
3,130513,Meinedo
3,130525,Torno
3,130527,União das freguesias de Cernadelo e Lousada (São Miguel e Santa Margarida)
2,AMU1306A,Maia (AMU)
3,130603,Folgosa
2,AMU1307A,Marco de Canaveses (AMU)
3,130704,Banho e Carvalhosa
3,130734,Bem Viver
3,130705,Constance
3,130739,Sande e São Lourenço do Douro
3,130735,Santo Isidoro e Livração
3,130722,Soalhães
3,130741,Vila Boa de Quires e Maureles
3,130730,Vila Boa do Bispo
2,AMU1310A,Paredes (AMU)
3,131014,Louredo
3,131020,Sobreira
2,AMU1311A,Penafiel (AMU)
3,131101,Abragão
3,131102,Boelhe
3,131103,Bustelo
3,131104,Cabeça Santa
3,131107,Castelões
3,131110,Eja
3,131112,Fonte Arcada
3,131142,Lagares e Figueira
3,131125,Perozelo
3,131132,Recezinhos (São Mamede)
3,131133,Recezinhos (São Martinho)
3,131129,Rio de Moinhos
3,131138,Rio Mau
3,131136,Valpedre
2,AMU1313A,Póvoa de Varzim (AMU)
3,131305,Balazar
3,131307,Estela
3,131311,Rates
2,AMU1314A,Santo Tirso (AMU)
3,131401,Agrela
3,131402,Água Longa
3,131413,Monte Córdova
3,131418,Reguenga
3,131435,União das freguesias de Carreira e Refojos de Riba de Ave
2,AMU1316A,Vila do Conde (AMU)
3,131603,Aveleda
3,131607,Fajozes
3,131610,Gião
3,131612,Junqueira
3,131614,Macieira da Maia
3,131632,União das freguesias de Fornelo e Vairão
3,131634,União das freguesias de Retorta e Tougues
3,131635,União das freguesias de Rio Mau e Arcos
3,131637,União das freguesias de Vilar e Mosteiró
2,AMU1401A,Abrantes (AMU)
3,140115,Tramagal
2,AMU1402A,Alcanena (AMU)
3,140206,Minde
2,AMU1403A,Almeirim (AMU)
3,140303,Fazendas de Almeirim
2,AMU1406A,Cartaxo (AMU)
3,140604,Pontével
3,140607,Vila Chã de Ourique
2,AMU1407A,Chamusca (AMU)
3,140708,União das freguesias da Chamusca e Pinheiro Grande
2,AMU1408A,Constância (AMU)
3,140801,Constância
2,AMU1420A,Vila Nova da Barquinha (AMU)
3,142001,Atalaia
3,142006,Vila Nova da Barquinha
2,AMU1421A,Ourém (AMU)
3,142102,Atouguia
3,142111,Nossa Senhora das Misericórdias
2,AMU1506A,Moita (AMU)
3,150608,União das freguesias de Gaio-Rosário e Sarilhos Pequenos
2,AMU1507A,Montijo (AMU)
3,150704,Sarilhos Grandes
2,AMU1511A,Sesimbra (AMU)
3,151101,Sesimbra (Castelo)
2,AMU1512A,Setúbal (AMU)
3,151207,Gâmbia-Pontes-Alto da Guerra
3,151208,Sado
3,151209,União das freguesias de Azeitão (São Lourenço e São Simão)
2,AMU1601A,Arcos de Valdevez (AMU)
3,160101,Aboim das Choças
3,160102,Aguiã
3,160142,Jolda (São Paio)
3,160123,Oliveira
3,160124,Paçô
3,160162,União das freguesias de Souto e Tabaçô
2,AMU1602A,Caminha (AMU)
3,160211,Lanhelas
3,160215,Seixas
3,160222,União das freguesias de Caminha (Matriz) e Vilarelho
3,160224,União das freguesias de Moledo e Cristelo
