Fonte: www.ine.pt – Sistema de metainformação
Exportação de categorias - Data de extração: 15-09-2026.

Família,Territoriais
Classificação,Tipologia de áreas urbanas
Versão,"V05635 - Tipologia de áreas urbanas, 2025"
Tipo de exportação,Total
Data de referência,15-09-2026

Nível,Código,Designação
3,031212,Cruz
3,031213,Delães
3,031215,Fradelos
3,031216,Gavião
3,031219,Joane
3,031221,Landim
3,031223,Louro
3,031224,Lousado
3,031225,Mogege
3,031227,Nine
3,031230,Pedome
3,031232,Pousada de Saramagos
3,031233,Requião
3,031234,Riba de Ave
3,031235,Ribeirão
3,031239,Oliveira (Santa Maria)
3,031242,Oliveira (São Mateus)
3,031247,Vermoim
3,031250,União das freguesias de Antas e Abade de Vermoim
3,031252,União das freguesias de Avidos e Lagoa
3,031253,União das freguesias de Carreira e Bente
3,031254,União das freguesias de Esmeriz e Cabeçudos
3,031255,"União das freguesias de Gondifelos, Cavalões e Outiz"
3,031256,"União das freguesias de Lemenhe, Mouquim e Jesufrei"
3,031257,União das freguesias de Ruivães e Novais
3,031258,União das freguesias de Seide
3,031259,"União das freguesias de Vale (São Cosme), Telhado e Portela"
3,031260,União das freguesias de Vila Nova de Famalicão e Calendário
2,APU0313A,Vila Verde
3,031317,Gême
3,031323,Lage
3,031325,Loureira
3,031328,Moure
3,031340,Sabariz
3,031342,Vila de Prado
3,031352,Soutelo
3,031354,Turiz
3,031370,Vila Verde e Barbudo
2,APU0314A,Vizela
3,031401,Santa Eulália
3,031404,Infias
3,031406,Vizela (Santo Adrião)
3,031408,União das freguesias de Caldas de Vizela (São Miguel e São João)
3,031409,União das freguesias de Tagilde e Vizela (São Paio)
2,APU0402A,Bragança
3,040240,Samil
3,040257,"União das freguesias de Sé, Santa Maria e Meixedo"
2,APU0405A,Macedo de Cavaleiros
3,040502,Amendoeira
3,040507,Carrapatas
3,040515,Grijó
3,040520,Macedo de Cavaleiros
3,040528,Sezulfe
3,040532,Vale Benfeito
3,040533,Vale da Porca
3,040534,Vale de Prados
3,040541,União das freguesias de Castelãos e Vilar do Monte
2,APU0407A,Mirandela
3,040721,Mirandela
2,APU0502A,Castelo Branco
3,050205,Castelo Branco
2,APU0503A,Covilhã
3,050305,Boidobra
3,050309,Dominguizo
3,050335,União das freguesias de Covilhã e Canhoso
2,APU0503B,Dominguizo
2,APU0504A,Fundão
3,050434,"União das freguesias de Fundão, Valverde, Donas, Aldeia de Joanes e Aldeia Nova do Cabo"
2,APU0509A,Sertã
3,050912,Sertã
2,APU0602B,Ançã
2,APU0602A,Cantanhede
3,060201,Ançã
3,060220,União das freguesias de Cantanhede e Pocariça
2,APU0603A,Coimbra
3,060311,Ceira
3,060318,Santo António dos Olivais
3,060333,União das freguesias de Assafarge e Antanhol
3,060334,"União das freguesias de Coimbra (Sé Nova, Santa Cruz, Almedina e São Bartolomeu)"
3,060335,União das freguesias de Eiras e São Paulo de Frades
3,060336,União das freguesias de Santa Clara e Castelo Viegas
3,060338,União das freguesias de São Martinho do Bispo e Ribeira de Frades
3,060341,União das freguesias de Trouxemil e Torre de Vilela
2,APU0604A,Condeixa-a-Nova
3,060411,União das freguesias de Condeixa-a-Velha e Condeixa-a-Nova
2,APU0605A,Figueira da Foz
3,060512,Tavarede
3,060514,São Pedro
3,060520,Buarcos e São Julião
2,APU0607A,Lousã
3,060708,União das freguesias de Lousã e Vilarinho
2,APU0608A,Mira
3,060801,Mira
2,APU0615A,Granja do Ulmeiro
3,061506,Granja do Ulmeiro
3,061509,Soure
2,APU0615B,Soure
2,APU0609A,Miranda do Corvo
3,060902,Miranda do Corvo
2,APU0611A,Oliveira do Hospital
3,061124,União das freguesias de Oliveira do Hospital e São Paio de Gramaços
2,APU0703A,Borba
3,070304,Borba (São Bartolomeu)
2,APU0704A,Estremoz 
3,070414,União das freguesias de Estremoz (Santa Maria e Santo André)
2,APU0705A,Évora
3,070522,União das freguesias de Bacelo e Senhora da Saúde
3,070523,"União das freguesias de Évora (São Mamede, Sé, São Pedro e Santo Antão)"
3,070524,União das freguesias de Malagueira e Horta das Figueiras
2,APU0706A,Montemor-o-Novo
3,070612,"União das freguesias de Nossa Senhora da Vila, Nossa Senhora do Bispo e Silveiras"
2,APU0710A,Redondo
3,071002,Redondo
2,APU0711A,Reguengos de Monsaraz
3,071104,Reguengos de Monsaraz
2,APU0712A,Vendas Novas
3,071201,Vendas Novas
2,APU0801A,Albufeira e Olhos de Água
3,080106,Albufeira e Olhos de Água
2,APU0805A,Faro 
3,080506,Montenegro
3,080508,União das freguesias de Faro (Sé e São Pedro)
2,APU0806A,Lagoa
3,080608,União das freguesias de Lagoa e Carvoeiro
2,APU0807A,Lagos
3,080708,São Gonçalo de Lagos
2,APU0808A,Loulé 
3,080805,Quarteira
3,080808,Loulé (São Clemente)
2,APU0810A,Olhão
3,081003,Olhão
3,081005,Quelfes
2,APU0811A,Portimão
3,081101,Alvor
3,081103,Portimão
2,APU0812A,São Brás de Alportel
3,081201,São Brás de Alportel
2,APU0813A,Armação de Pêra
3,081303,Armação de Pêra
3,081307,Silves
2,APU0813B,Silves
2,APU0814A,Tavira
3,081412,União das freguesias de Tavira (Santa Maria e Santiago)
2,APU0816A,Vila Real de Santo António
3,081602,Vila Real de Santo António
3,081603,Monte Gordo
2,APU0907A,Guarda
3,090758,Guarda
2,APU0912A,Seia
3,091233,"União das freguesias de Seia, São Romão e Lapa dos Dinheiros"
2,APU1001A,Alcobaça
3,100121,União das freguesias de Alcobaça e Vestiaria
2,APU1004A,Batalha
3,100401,Batalha
2,APU1005A,Bombarral e Vale Covo
3,100506,União das freguesias do Bombarral e Vale Covo
2,APU1006A,Caldas da Rainha
3,100606,Foz do Arelho
3,100617,"União das freguesias de Caldas da Rainha - Nossa Senhora do Pópulo, Coto e São Gregório"
3,100618,União das freguesias de Caldas da Rainha - Santo Onofre e Serra do Bouro
2,APU1009A,Leiria
3,100933,"União das freguesias de Leiria, Pousos, Barreira e Cortes"
3,100934,União das freguesias de Marrazes e Barosa
3,100937,União das freguesias de Parceiros e Azoia
2,APU1010A,Marinha Grande
3,101001,Marinha Grande
2,APU1011A,Nazaré
3,101102,Nazaré
2,APU1014A,Peniche
3,101406,Ferrel
3,101407,Peniche
2,APU1015A,Meirinhas
3,101509,Pombal
3,101515,Meirinhas
2,APU1015B,Pombal
2,APU1016B,Mira de Aire
2,APU1016A,Porto de Mós
3,101608,Mira de Aire
3,101614,Porto de Mós - São João Baptista e São Pedro
2,APU1101A,Alenquer
