geo_code,dicofre,geo_name,geo_level,period,value_eur_m2,dwelling_type,flag
1C40710,0710,Redondo,municipio,2020Q1,2.9,,
11A131433,131433,"União das freguesias de Areias, Sequeiró, Lama e Palmeira",freguesia,2020Q1,2.91,,
11C0106,0106,Castelo de Paiva,municipio,2020Q1,2.91,,
2004701,4701,Horta,municipio,2020Q1,2.92,,
11A131013,131013,Lordelo,freguesia,2020Q1,2.93,,
1920601,0601,Arganil,municipio,2020Q1,2.93,,
1941810,1810,Oliveira de Frades,municipio,2020Q1,2.93,,
196,,Beiras e Serra da Estrela,nuts3,2020Q1,2.93,,
1C20214,0214,Vidigueira,municipio,2020Q1,2.93,,
11A131018,131018,Rebordosa,freguesia,2020Q1,2.95,,
1920607,0607,Lousã,municipio,2020Q1,2.96,,
1D21411,1411,Ferreira do Zêzere,municipio,2020Q1,2.96,,
11B1713,1713,Vila Pouca de Aguiar,municipio,2020Q1,2.97,,
1920608,0608,Mira,municipio,2020Q1,2.99,,
1D11104,1104,Cadaval,municipio,2020Q1,3,,
11A131405,131405,Aves,freguesia,2020Q1,3.01,,
1C40704,0704,Estremoz,municipio,2020Q1,3.01,,
1120301,0301,Amares,municipio,2020Q1,3.03,,
1D21401,1401,Abrantes,municipio,2020Q1,3.04,,
11C1309,1309,Paços de Ferreira,municipio,2020Q1,3.07,,
11C1311,1311,Penafiel,municipio,2020Q1,3.07,,
1190311,0311,Vieira do Minho,municipio,2020Q1,3.08,,
11A010933,010933,"União das freguesias de Canedo, Vale e Vila Maior",freguesia,2020Q1,3.08,,
11E0402,0402,Bragança,municipio,2020Q1,3.1,,
1920616,0616,Tábua,municipio,2020Q1,3.1,,
1C31207,1207,Elvas,municipio,2020Q1,3.1,,
1111610,1610,Vila Nova de Cerveira,municipio,2020Q1,3.13,,
195,,Beira Baixa,nuts3,2020Q1,3.13,,
1960907,0907,Guarda,municipio,2020Q1,3.13,,
1190314,0314,Vizela,municipio,2020Q1,3.14,,
11A1314,1314,Santo Tirso,municipio,2020Q1,3.16,,
1941816,1816,São Pedro do Sul,municipio,2020Q1,3.16,,
1931016,1016,Porto de Mós,municipio,2020Q1,3.17,,
11A011302,011302,Cesar,freguesia,2020Q1,3.18,,
11A011902,011902,São Pedro de Castelões,freguesia,2020Q1,3.2,,
1C40714,0714,Vila Viçosa,municipio,2020Q1,3.22,,
11A010936,010936,União de freguesias de São Miguel de Souto e Mosteirô,freguesia,2020Q1,3.23,,
1C20210,0210,Moura,municipio,2020Q1,3.23,,
1D21420,1420,Vila Nova da Barquinha,municipio,2020Q1,3.23,,
11D,,Douro,nuts3,2020Q1,3.25,,
11A010921,010921,Rio Meão,freguesia,2020Q1,3.26,,
11B,,Alto Tâmega e Barroso,nuts3,2020Q1,3.26,,
1941821,1821,Tondela,municipio,2020Q1,3.26,,
1111604,1604,Monção,municipio,2020Q1,3.27,,
1120313,0313,Vila Verde,municipio,2020Q1,3.28,,
11A010934,010934,"União das freguesias de Lobão, Gião, Louredo e Guisande",freguesia,2020Q1,3.28,,
11A0113,0113,Oliveira de Azeméis,municipio,2020Q1,3.28,,
1950502,0502,Castelo Branco,municipio,2020Q1,3.29,,
1C40702,0702,Arraiolos,municipio,2020Q1,3.29,,
11A131003,131003,Baltar,freguesia,2020Q1,3.3,,
1920111,0111,Mealhada,municipio,2020Q1,3.3,,
1C31213,1213,Ponte de Sor,municipio,2020Q1,3.3,,
1D11005,1005,Bombarral,municipio,2020Q1,3.3,,
1D31412,1412,Golegã,municipio,2020Q1,3.31,,
1C40711,0711,Reguengos de Monsaraz,municipio,2020Q1,3.32,,
11A010919,010919,Paços de Brandão,freguesia,2020Q1,3.33,,
1C20213,0213,Serpa,municipio,2020Q1,3.33,,
1D31403,1403,Almeirim,municipio,2020Q1,3.34,,
1111608,1608,Valença,municipio,2020Q1,3.37,,
11B1703,1703,Chaves,municipio,2020Q1,3.38,,
1C20202,0202,Almodôvar,municipio,2020Q1,3.38,,
1111607,1607,Ponte de Lima,municipio,2020Q1,3.39,,
119,,Ave,nuts3,2020Q1,3.39,,
11A1310,1310,Paredes,municipio,2020Q1,3.39,,
1941824,1824,Vouzela,municipio,2020Q1,3.39,,
1931015,1015,Pombal,municipio,2020Q1,3.4,,
11A0119,0119,Vale de Cambra,municipio,2020Q1,3.41,,
1920610,0610,Montemor-o-Velho,municipio,2020Q1,3.41,,
1C20208,0208,Ferreira do Alentejo,municipio,2020Q1,3.41,,
2004502,4502,Velas,municipio,2020Q1,3.42,,
1910103,0103,Anadia,municipio,2020Q1,3.43,,
3003101,3101,Calheta (R.A.M.),municipio,2020Q1,3.45,,
11A011322,011322,"União das freguesias de Pinheiro da Bemposta, Travanca e Palmaz",freguesia,2020Q1,3.46,,
1D2,,Médio Tejo,nuts3,2020Q1,3.46,,
11A011321,011321,"União das freguesias de Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail",freguesia,2020Q1,3.47,,
1D21419,1419,Torres Novas,municipio,2020Q1,3.47,,
11A011910,011910,"União das freguesias de Vila Chã, Codal e Vila Cova de Perrinho",freguesia,2020Q1,3.48,,
11D1708,1708,Peso da Régua,municipio,2020Q1,3.49,,
1920602,0602,Cantanhede,municipio,2020Q1,3.5,,
194,,Viseu Dão Lafões,nuts3,2020Q1,3.51,,
1960503,0503,Covilhã,municipio,2020Q1,3.51,,
1910114,0114,Oliveira do Bairro,municipio,2020Q1,3.53,,
1931004,1004,Batalha,municipio,2020Q1,3.53,,
11A0104,0104,Arouca,municipio,2020Q1,3.54,,
1D31409,1409,Coruche,municipio,2020Q1,3.54,,
1910118,0118,Vagos,municipio,2020Q1,3.58,,
11A011319,011319,Vila de Cucujães,freguesia,2020Q1,3.59,,
1190312,0312,Vila Nova de Famalicão,municipio,2020Q1,3.6,,
11A010901,010901,Argoncilhe,freguesia,2020Q1,3.6,,
1D21410,1410,Entroncamento,municipio,2020Q1,3.6,,
1910108,0108,Estarreja,municipio,2020Q1,3.61,,
1D31406,1406,Cartaxo,municipio,2020Q1,3.61,,
1C,,Alentejo,nuts2,2020Q1,3.62,,
1C40706,0706,Montemor-o-Novo,municipio,2020Q1,3.64,,
11A010925,010925,Santa Maria de Lamas,freguesia,2020Q1,3.65,,
11A010421,010421,União das freguesias de Arouca e Burgo,freguesia,2020Q1,3.67,,
1910101,0101,Águeda,municipio,2020Q1,3.68,,
1D11001,1001,Alcobaça,municipio,2020Q1,3.68,,
1D21421,1421,Ourém,municipio,2020Q1,3.7,,
1910102,0102,Albergaria-a-Velha,municipio,2020Q1,3.71,,
1920604,0604,Condeixa-a-Nova,municipio,2020Q1,3.71,,
1190308,0308,Guimarães,municipio,2020Q1,3.72,,
11A131437,131437,"União das freguesias de Santo Tirso, Couto (Santa Cristina e São Miguel) e Burgães",freguesia,2020Q1,3.73,,
1C2,,Baixo Alentejo,nuts3,2020Q1,3.73,,
1C20201,0201,Aljustrel,municipio,2020Q1,3.73,,
1C40712,0712,Vendas Novas,municipio,2020Q1,3.74,,
11A010902,010902,Arrifana,freguesia,2020Q1,3.75,,
1120302,0302,Barcelos,municipio,2020Q1,3.76,,
1D31414,1414,Rio Maior,municipio,2020Q1,3.76,,
1931010,1010,Marinha Grande,municipio,2020Q1,3.78,,
11A0109,0109,Santa Maria da Feira,municipio,2020Q1,3.8,,
11A010916,010916,Mozelos,freguesia,2020Q1,3.8,,
1C4,,Alentejo Central,nuts3,2020Q1,3.8,,
1D31415,1415,Salvaterra de Magos,municipio,2020Q1,3.82,,
111,,Alto Minho,nuts3,2020Q1,3.83,,
11D1714,1714,Vila Real,municipio,2020Q1,3.87,,
1910112,0112,Murtosa,municipio,2020Q1,3.87,,
1D21418,1418,Tomar,municipio,2020Q1,3.87,,
11A010907,010907,Fiães,freguesia,2020Q1,3.89,,
1D3,,Lezíria do Tejo,nuts3,2020Q1,3.89,,
2004205,4205,Ribeira Grande,municipio,2020Q1,3.89,,
2004301,4301,Angra do Heroísmo,municipio,2020Q1,3.89,,
11A131008,131008,Cete,freguesia,2020Q1,3.9,,
11A131811,131811,União das freguesias de Coronado (São Romão e São Mamede),freguesia,2020Q1,3.93,,
11A010926,010926,São João de Ver,freguesia,2020Q1,3.94,,
19,,Centro,nuts2,2020Q1,3.94,,
11A131506,131506,União das freguesias de Campo e Sobrado,freguesia,2020Q1,3.96,,
11A010913,010913,Lourosa,freguesia,2020Q1,3.97,,
11A1318,1318,Trofa,municipio,2020Q1,3.97,,
11A010917,010917,Nogueira da Regedoura,freguesia,2020Q1,3.98,,
1D11112,1112,Sobral de Monte Agraço,municipio,2020Q1,3.98,,
1C20206,0206,Castro Verde,municipio,2020Q1,3.99,,
1D,,Oeste e Vale do Tejo,nuts2,2020Q1,3.99,,
1111602,1602,Caminha,municipio,2020Q1,4,,
11A131729,131729,"União das freguesias de Sandim, Olival, Lever e Crestuma",freguesia,2020Q1,4,,
1D31416,1416,Santarém,municipio,2020Q1,4,,
1C11501,1501,Alcácer do Sal,municipio,2020Q1,4.02,,
2004201,4201,Lagoa (R.A.A.),municipio,2020Q1,4.03,,
11A0116,0116,São João da Madeira,municipio,2020Q1,4.04,,
11A011601,011601,São João da Madeira,freguesia,2020Q1,4.04,,
193,,Região de Leiria,nuts3,2020Q1,4.08,,
11A131810,131810,União das freguesias de Bougado (São Martinho e Santiago),freguesia,2020Q1,4.09,,
11A131025,131025,Paredes,freguesia,2020Q1,4.1,,
1500809,0809,Monchique,municipio,2020Q1,4.1,,
1D11012,1012,Óbidos,municipio,2020Q1,4.1,,
11A131725,131725,União das freguesias de Grijó e Sermonde,freguesia,2020Q1,4.11,,
1941823,1823,Viseu,municipio,2020Q1,4.12,,
11A131602,131602,Árvore,freguesia,2020Q1,4.17,,
3003107,3107,Ribeira Brava,municipio,2020Q1,4.17,,
1D11011,1011,Nazaré,municipio,2020Q1,4.18,,
1D11108,1108,Lourinhã,municipio,2020Q1,4.23,,
1D31405,1405,Benavente,municipio,2020Q1,4.25,,
11A010935,010935,"União das freguesias de Santa Maria da Feira, Travanca, Sanfins e Espargo",freguesia,2020Q1,4.32,,
1500812,0812,São Brás de Alportel,municipio,2020Q1,4.33,,
2,,Região Autónoma dos Açores,continente,2020Q1,4.34,,
20,,Região Autónoma dos Açores,nuts2,2020Q1,4.34,,
200,,Região Autónoma dos Açores,nuts3,2020Q1,4.34,,
1C20205,0205,Beja,municipio,2020Q1,4.35,,
1C11509,1509,Santiago do Cacém,municipio,2020Q1,4.36,,
191,,Região de Aveiro,nuts3,2020Q1,4.38,,
1910115,0115,Ovar,municipio,2020Q1,4.41,,
1920605,0605,Figueira da Foz,municipio,2020Q1,4.41,,
1D1,,Oeste,nuts3,2020Q1,4.43,,
1111609,1609,Viana do Castelo,municipio,2020Q1,4.44,,
1120306,0306,Esposende,municipio,2020Q1,4.44,,
11A010705,010705,Silvalde,freguesia,2020Q1,4.51,,
1D11014,1014,Peniche,municipio,2020Q1,4.51,,
192,,Região de Coimbra,nuts3,2020Q1,4.55,,
3003104,3104,Machico,municipio,2020Q1,4.55,,
11A131011,131011,Gandra,freguesia,2020Q1,4.56,,
1B0150601,150601,Alhos Vedros,freguesia,2020Q1,4.58,,
1C10211,0211,Odemira,municipio,2020Q1,4.58,,
1D11006,1006,Caldas da Rainha,municipio,2020Q1,4.6,,
1A0110918,110918,União das freguesias de Azueira e Sobral da Abelheira,freguesia,2020Q1,4.62,,
11,,Norte,nuts2,2020Q1,4.64,,
1C1,,Alentejo Litoral,nuts3,2020Q1,4.65,,
11A130413,130413,União das freguesias de Fânzeres e São Pedro da Cova,freguesia,2020Q1,4.66,,
1D11101,1101,Alenquer,municipio,2020Q1,4.66,,
1A0111123,111123,"União das freguesias de Almargem do Bispo, Pêro Pinheiro e Montelavar",freguesia,2020Q1,4.68,,
1A0110920,110920,União das freguesias de Igreja Nova e Cheleiros,freguesia,2020Q1,4.72,,
3003102,3102,Câmara de Lobos,municipio,2020Q1,4.72,,
11A1316,1316,Vila do Conde,municipio,2020Q1,4.75,,
1931009,1009,Leiria,municipio,2020Q1,4.75,,
11A131728,131728,União das freguesias de Pedroso e Seixezelo,freguesia,2020Q1,4.77,,
11A130415,130415,"União das freguesias de Gondomar (São Cosme), Valbom e Jovim",freguesia,2020Q1,4.78,,
1A0110913,110913,Santo Isidoro,freguesia,2020Q1,4.81,,
1D31103,1103,Azambuja,municipio,2020Q1,4.82,,
112,,Cávado,nuts3,2020Q1,4.83,,
11A131501,131501,Alfena,freguesia,2020Q1,4.83,,
1D11102,1102,Arruda dos Vinhos,municipio,2020Q1,4.84,,
1A0111127,111127,União das freguesias de São João das Lampas e Terrugem,freguesia,2020Q1,4.87,,
1C11505,1505,Grândola,municipio,2020Q1,4.87,,
1B0151006,151006,Fernão Ferro,freguesia,2020Q1,4.91,,
1A0110904,110904,Encarnação,freguesia,2020Q1,4.93,,
11A131313,131313,"União das freguesias de Aver-o-Mar, Amorim e Terroso",freguesia,2020Q1,4.95,,
1910110,0110,Ílhavo,municipio,2020Q1,4.95,,
1B0150202,150202,Samouco,freguesia,2020Q1,4.96,,
11A010706,010706,União das freguesias de Anta e Guetim,freguesia,2020Q1,5,,
1A0111414,111414,União das freguesias de Castanheira do Ribatejo e Cachoeiras,freguesia,2020Q1,5,,
2004302,4302,Vila da Praia da Vitória,municipio,2020Q1,5,,
1B0150603,150603,Moita,freguesia,2020Q1,5.04,,
11A131723,131723,Vilar de Andorinho,freguesia,2020Q1,5.06,,
11A131702,131702,Avintes,freguesia,2020Q1,5.08,,
1A0110702,110702,Bucelas,freguesia,2020Q1,5.08,,
11A131628,131628,Vila do Conde,freguesia,2020Q1,5.1,,
2004203,4203,Ponta Delgada,municipio,2020Q1,5.1,,
1A0110911,110911,Milharado,freguesia,2020Q1,5.13,,
1B01506,1506,Moita,municipio,2020Q1,5.13,,
11A1313,1313,Póvoa de Varzim,municipio,2020Q1,5.15,,
11A131731,131731,União das freguesias de Serzedo e Perosinho,freguesia,2020Q1,5.15,,
1B0150711,150711,União das freguesias de Pegões,freguesia,2020Q1,5.15,,
1B0150803,150803,Pinhal Novo,freguesia,2020Q1,5.15,,
1A0111412,111412,"União das freguesias de Alhandra, São João dos Montes e Calhandriz",freguesia,2020Q1,5.2,,
1500803,0803,Aljezur,municipio,2020Q1,5.21,,
11A1304,1304,Gondomar,municipio,2020Q1,5.22,,
1B0150802,150802,Palmela,freguesia,2020Q1,5.23,,
11A1315,1315,Valongo,municipio,2020Q1,5.24,,
11A130601,130601,Águas Santas,freguesia,2020Q1,5.26,,
1B0150407,150407,Santo António da Charneca,freguesia,2020Q1,5.26,,
1D11113,1113,Torres Vedras,municipio,2020Q1,5.26,,
11A131315,131315,"União das freguesias da Póvoa de Varzim, Beiriz e Argivai",freguesia,2020Q1,5.28,,
11A131505,131505,Valongo,freguesia,2020Q1,5.3,,
1B0151103,151103,Quinta do Conde,freguesia,2020Q1,5.32,,
11A130412,130412,Baguim do Monte (Rio Tinto),freguesia,2020Q1,5.34,,
1B01508,1508,Palmela,municipio,2020Q1,5.34,,
3003108,3108,Santa Cruz,municipio,2020Q1,5.34,,
1120303,0303,Braga,municipio,2020Q1,5.36,,
1A0110919,110919,"União das freguesias de Enxara do Bispo, Gradil e Vila Franca do Rosário",freguesia,2020Q1,5.36,,
11A130616,130616,Vila Nova da Telha,freguesia,2020Q1,5.38,,
1A0110921,110921,União das freguesias de Malveira e São Miguel de Alcainça,freguesia,2020Q1,5.4,,
1B0151101,151101,Sesimbra (Castelo),freguesia,2020Q1,5.42,,
11A131503,131503,Ermesinde,freguesia,2020Q1,5.43,,
1A0110922,110922,União das freguesias de Venda do Pinheiro e Santo Estêvão das Galés,freguesia,2020Q1,5.43,,
11A131703,131703,Canelas,freguesia,2020Q1,5.45,,
11A131616,131616,Mindelo,freguesia,2020Q1,5.46,,
1500810,0810,Olhão,municipio,2020Q1,5.47,,
1A0110708,110708,Lousa,freguesia,2020Q1,5.47,,
1C40705,0705,Évora,municipio,2020Q1,5.47,,
1A0110729,110729,União das freguesias de Santo Antão e São Julião do Tojal,freguesia,2020Q1,5.5,,
1B01511,1511,Sesimbra,municipio,2020Q1,5.5,,
1B0150607,150607,União das freguesias de Baixa da Banheira e Vale da Amoreira,freguesia,2020Q1,5.53,,
1500813,0813,Silves,municipio,2020Q1,5.56,,
PT,,Portugal,pais,2020Q1,5.56,,
1,,Continente,continente,2020Q1,5.58,,
1B0150806,150806,União das freguesias de Poceirão e Marateca,freguesia,2020Q1,5.58,,
1B0151207,151207,Gâmbia-Pontes-Alto da Guerra,freguesia,2020Q1,5.6,,
11A130620,130620,Nogueira e Silva Escura,freguesia,2020Q1,5.63,,
1500806,0806,Lagoa,municipio,2020Q1,5.65,,
1500804,0804,Castro Marim,municipio,2020Q1,5.7,,
1C11513,1513,Sines,municipio,2020Q1,5.81,,
11A131701,131701,Arcozelo,freguesia,2020Q1,5.83,,
11A0107,0107,Espinho,municipio,2020Q1,5.85,,
11A130408,130408,Rio Tinto,freguesia,2020Q1,5.86,,
11A130618,130618,Castêlo da Maia,freguesia,2020Q1,5.88,,
11A1306,1306,Maia,municipio,2020Q1,5.89,,
11A,,Área Metropolitana do Porto,nuts3,2020Q1,5.91,,
1B01502,1502,Alcochete,municipio,2020Q1,5.92,,
1B0151209,151209,União das freguesias de Azeitão (São Lourenço e São Simão),freguesia,2020Q1,5.94,,
11A131717,131717,São Félix da Marinha,freguesia,2020Q1,5.95,,
11A130609,130609,Moreira,freguesia,2020Q1,5.97,,
11A131613,131613,Labruge,freguesia,2020Q1,6,,
1A0110902,110902,Carvoeira,freguesia,2020Q1,6,,
1A01109,1109,Mafra,municipio,2020Q1,6.02,,
1A0111115,111115,Casal de Cambra,freguesia,2020Q1,6.04,,
1B0150709,150709,União das freguesias de Atalaia e Alto Estanqueiro-Jardia,freguesia,2020Q1,6.04,,
1A0110909,110909,Mafra,freguesia,2020Q1,6.05,,
11A130811,130811,"União das freguesias de Custóias, Leça do Balio e Guifões",freguesia,2020Q1,6.06,,
1920603,0603,Coimbra,municipio,2020Q1,6.06,,
1B0150410,150410,União das freguesias de Barreiro e Lavradio,freguesia,2020Q1,6.07,,
1910105,0105,Aveiro,municipio,2020Q1,6.11,,
1B0151205,151205,Setúbal (São Sebastião),freguesia,2020Q1,6.12,,
11A010702,010702,Espinho,freguesia,2020Q1,6.13,,
1500815,0815,Vila do Bispo,municipio,2020Q1,6.14,,
1A0111408,111408,Vialonga,freguesia,2020Q1,6.15,,
1500816,0816,Vila Real de Santo António,municipio,2020Q1,6.16,,
1B01507,1507,Montijo,municipio,2020Q1,6.16,,
11A130617,130617,Pedrouços,freguesia,2020Q1,6.19,,
1B0151002,151002,Amora,freguesia,2020Q1,6.2,,
11A131726,131726,União das freguesias de Gulpilhares e Valadares,freguesia,2020Q1,6.25,,
1A0110731,110731,"União das freguesias de Camarate, Unhos e Apelação",freguesia,2020Q1,6.25,,
1A01114,1114,Vila Franca de Xira,municipio,2020Q1,6.27,,
1B01504,1504,Barreiro,municipio,2020Q1,6.27,,
1A0111105,111105,Colares,freguesia,2020Q1,6.3,,
11A130813,130813,"União das freguesias de Perafita, Lavra e Santa Cruz do Bispo",freguesia,2020Q1,6.31,,
11A131712,131712,Oliveira do Douro,freguesia,2020Q1,6.33,,
1B0150201,150201,Alcochete,freguesia,2020Q1,6.34,,
1B0150710,150710,União das freguesias de Montijo e Afonsoeiro,freguesia,2020Q1,6.34,,
3,,Região Autónoma da Madeira,continente,2020Q1,6.34,,
30,,Região Autónoma da Madeira,nuts2,2020Q1,6.34,,
300,,Região Autónoma da Madeira,nuts3,2020Q1,6.34,,
1A0111409,111409,Vila Franca de Xira,freguesia,2020Q1,6.37,,
1B0151102,151102,Sesimbra (Santiago),freguesia,2020Q1,6.38,,
11A1317,1317,Vila Nova de Gaia,municipio,2020Q1,6.4,,
1B,,Península de Setúbal,nuts2,2020Q1,6.41,,
1B0,,Península de Setúbal,nuts3,2020Q1,6.41,,
1B0150804,150804,Quinta do Anjo,freguesia,2020Q1,6.41,,
1B01512,1512,Setúbal,municipio,2020Q1,6.43,,
1500805,0805,Faro,municipio,2020Q1,6.46,,
1A0110728,110728,"União das freguesias de Santa Iria de Azoia, São João da Talha e Bobadela",freguesia,2020Q1,6.5,,
1B01510,1510,Seixal,municipio,2020Q1,6.5,,
11A130619,130619,Cidade da Maia,freguesia,2020Q1,6.52,,
1B0151007,151007,"União das freguesias do Seixal, Arrentela e Aldeia de Paio Pires",freguesia,2020Q1,6.52,,
1A0111415,111415,União das freguesias de Póvoa de Santa Iria e Forte da Casa,freguesia,2020Q1,6.53,,
1A0111102,111102,Algueirão-Mem Martins,freguesia,2020Q1,6.58,,
15,,Algarve,nuts2,2020Q1,6.59,,
150,,Algarve,nuts3,2020Q1,6.59,,
1B0150409,150409,"União das freguesias de Alto do Seixalinho, Santo André e Verderena",freguesia,2020Q1,6.61,,
1B0150313,150313,União das freguesias de Caparica e Trafaria,freguesia,2020Q1,6.64,,
11A131709,131709,Madalena,freguesia,2020Q1,6.67,,
1A0111610,111610,União das freguesias de Ramada e Caneças,freguesia,2020Q1,6.67,,
1500814,0814,Tavira,municipio,2020Q1,6.68,,
1B0151210,151210,"União das freguesias de Setúbal (São Julião, Nossa Senhora da Anunciada e Santa Maria da Graça)",freguesia,2020Q1,6.8,,
1A0111413,111413,União das freguesias de Alverca do Ribatejo e Sobralinho,freguesia,2020Q1,6.83,,
1A01111,1111,Sintra,municipio,2020Q1,6.85,,
1500811,0811,Portimão,municipio,2020Q1,6.89,,
1A0111608,111608,União das freguesias de Pontinha e Famões,freguesia,2020Q1,7.01,,
11A131704,131704,Canidelo,freguesia,2020Q1,7.06,,
1A0111108,111108,Rio de Mouro,freguesia,2020Q1,7.07,,
1A0111125,111125,União das freguesias de Massamá e Monte Abraão,freguesia,2020Q1,7.07,,
1B0151005,151005,Corroios,freguesia,2020Q1,7.09,,
11A131727,131727,União das freguesias de Mafamude e Vilar do Paraíso,freguesia,2020Q1,7.13,,
1500807,0807,Lagos,municipio,2020Q1,7.14,,
1B0150314,150314,União das freguesias de Charneca de Caparica e Sobreda,freguesia,2020Q1,7.14,,
1A0111122,111122,União das freguesias de Agualva e Mira-Sintra,freguesia,2020Q1,7.18,,
3003103,3103,Funchal,municipio,2020Q1,7.19,,
1A01107,1107,Loures,municipio,2020Q1,7.24,,
1500801,0801,Albufeira,municipio,2020Q1,7.33,,
1A0111514,111514,Encosta do Sol,freguesia,2020Q1,7.33,,
1A0111124,111124,União das freguesias do Cacém e São Marcos,freguesia,2020Q1,7.35,,
1B0150315,150315,União das freguesias de Laranjeiro e Feijó,freguesia,2020Q1,7.38,,
1A0110707,110707,Loures,freguesia,2020Q1,7.39,,
11A131730,131730,União das freguesias de Santa Marinha e São Pedro da Afurada,freguesia,2020Q1,7.47,,
1500808,0808,Loulé,municipio,2020Q1,7.48,,
1A0111128,111128,"União das freguesias de Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim)",freguesia,2020Q1,7.53,,
1A0110730,110730,União das freguesias de Santo António dos Cavaleiros e Frielas,freguesia,2020Q1,7.67,,
1A0111516,111516,Mina de Água,freguesia,2020Q1,7.7,,
1A0111609,111609,União das freguesias de Póvoa de Santo Adrião e Olival Basto,freguesia,2020Q1,7.7,,
11A1308,1308,Matosinhos,municipio,2020Q1,7.72,,
1A01116,1116,Odivelas,municipio,2020Q1,7.75,,
1A0111126,111126,União das freguesias de Queluz e Belas,freguesia,2020Q1,7.81,,
1A0110906,110906,Ericeira,freguesia,2020Q1,7.85,,
1A0111002,111002,Barcarena,freguesia,2020Q1,7.93,,
1A0110664,110664,Santa Clara,freguesia,2020Q1,8,,
